序号,代码,简称,事件类型,具体事项,交易日
11,code.002008,大族激光,股份质押,"公司股东大族控股集团有限公司将持有的本公司股份168万股质押给中国邮政储蓄银行股份有限公司深圳南山区支行,质押起始日2025/06/25至质押到期日2026/06/23并于2025年06月25日办理质押登记手续。",2025-06-26
12,code.002015,协鑫能科,股份质押,"公司股东上海其辰企业管理有限公司将持有的本公司股份879.5891万股质押给苏州资产管理有限公司,质押起始日期2025/06/24至办理解除质押登记手续之日并于2025年06月24日办理质押登记手续。",2025-06-26
13,code.002015,协鑫能科,股份质押,"公司股东协鑫创展控股有限公司将持有的本公司股份8620.4109万股质押给苏州资产管理有限公司,质押起始日期2025/06/24至办理解除质押登记手续之日并于2025年06月24日办理质押登记手续。",2025-06-26
14,code.002027,分众传媒,对外担保,"公司境外控股子公司的控股子公司分众香港为满足自身业务发展需要,与招商银行股份有限公司上海分行(以下简称“授信银行”)签署了《授信协议[适用于非居民(OSA除外)流动资金贷款无需另签借款合同的情形]》(以下简称“《授信协议》”)。公司全资子公司上海德峰广告传播有限公司(以下简称“上海德峰”)同意为分众香港在《授信协议》项下所欠授信银行的所有债务承担连带保证责任及质押担保,担保最高限额为5,000万元人民币(即授信银行根据《授信协议》在授信额度内向分众香港提供的贷款及其他授信本金余额之和)。",2025-06-26
15,code.002106,莱宝高科,资产重组,"泰国莱宝与Amata Corporation Public Company Limited(以下简称“安美德公司”)于2025年6月25日在泰国曼谷签署了《土地买卖协议》(以下简称“协议”),泰国莱宝以500万泰铢/莱的单价购买安美德公司位于泰国春武里府安美德城二期工业园AC2-14地块的占地面积约11.1380莱的工业用地。",2025-06-26
16,code.002146,荣盛发展,对外担保,"因业务需要,为确保荣盛房地产发展股份有限公司(以下简称“公司”)子公司漯河市盛旭房地产开发有限公司(以下简称“漯河盛旭”)在漯河的“锦绣江南”项目的建设资金安全及按期交付,由漯河市保交楼专班主导,确定由漯河市政府平台公司漯河市郾城建设投资有限公司(以下简称“郾城建投”)作为保交楼项目贷款主体,向银团申请保交楼贷款,贷款本金总额不超过16,300万元,并由漯河盛旭以自有资产提供抵押担保和连带责任保证担保,由公司子公司修武荣盛文化旅游古镇开发有限公司(简称“修武荣盛”)以自有资产提供抵押担保,由公司子公司信阳荣阳房地产开发有限公司(简称“信阳荣阳”)提供连带责任保证担保,担保期限不超过36个月。",2025-06-26
17,code.002208,合肥城建,对外担保,"公司全资孙公司合肥新站工投工业科技有限公司(以下简称“工投新站”,公司全资子公司合肥工投工业科技发展有限公司持有其100%股权)与中国建设银行股份有限公司合肥庐阳支行签订了2.5亿元项目借款合同,公司为上述贷款提供连带责任保证担保。",2025-06-26
18,code.002331,皖通科技,对外担保,"近日,公司与中信银行合肥分行签署了《最高额保证合同》,公司为汉高信息与中信银行合肥分行发生的5,000万元综合授信业务中的2,550万元(综合授信的51%)提供连带责任保证。",2025-06-26
19,code.002332,仙琚制药,资产重组,"浙江萃泽医药科技有限公司系浙江仙琚制药股份有限公司的参股公司,公司持有其37.3879%的股权。近日,公司收到萃泽医药拟增加注册资本的通知,考虑到经营需求,萃泽医药注册资本拟由1529.0243万元增资到1618.0152万元,拟增加注册资本88.9909万元,增资价格为37.0825元/股。公司结合实际经营情况,拟放弃本次股权增资的优先认缴出资权。本次增资拟由以下5家投资方参与:仙居县海纳包装有限公司出资1200万元人民币,王焕勇出资900万元人民币,王宝军出资600万元人民币,郑旭芬出资300万元人民币,楼晓炯出资300万元人民币。拟参与增资的5家认购方以现金出资合计3300万元人民币,认购萃泽医药的新增注册资本88.9909万元。本次增资完成后,公司持有萃泽医药的股权比例由原来的37.3879%降至35.3316%。",2025-06-26
20,code.002332,仙琚制药,资产重组,"浙江萃泽医药科技有限公司系浙江仙琚制药股份有限公司的参股公司,公司持有其41.6501%的股权。萃泽医药考虑到经营需求,注册资本拟由1372.5524万元增资到1529.0243万元,拟增加注册资本156.4719万元。拟参与增资的所有认购方以现金出资合计5,700万元人民币,认购萃泽医药的新增注册资本156.4719万元。本次增资完成后,公司持有萃泽医药的股权比例由原来的41.6501%降至37.3879%。公司结合实际经营情况,拟放弃萃泽医药本次增资的优先认购权。本次增资拟由以下5家投资方参与:鸿运浆果贰号(天津)创业投资合伙企业(有限合伙)、浙江省仙居县永圣工贸有限公司、毛怡萍、王宝军、郑旭芬。拟参与增资的所有认购方以现金出资合计5,700万元人民币,认购萃泽医药的新增注册资本156.4719万元。",2025-06-26
21,code.002353,杰瑞股份,对外担保,"公司全资子公司杰瑞石油天然气工程有限公司(以下简称“杰瑞油气”)因日常经营资金需求,拟向国家开发银行宁夏回族自治区分行(以下简称“宁夏国开行”)申请流动资金贷款并签署《外汇流动资金贷款合同》(以下简称“贷款合同”)。为推进杰瑞油气日常经营活动正常开展,保障资金流动性,公司拟为杰瑞油气本次流动资金贷款提供连带责任保证,担保贷款本金金额不超过6,200万美元(参照6月25日中国人民银行美元对人民币中间价汇率1:7.1668折算,为44,434.16万元人民币)。",2025-06-26
22,code.002356,赫美集团,资产重组,"重整管理人将公司名下位于深圳市南山区侨城北路高发东方科技园的厂房、公寓合计90套房产按现状打包整体拍卖,标的物系公司于2001年10月22日收购取得,使用期限为50年(自1998年2月28日至2048年2月28日)。该处房产宗地号为T405-0032,土地用途为工业仓储用地,权利性质为商品房,房屋用途为厂房或单身公寓。",2025-06-26
23,code.002360,同德化工,对外担保,"近日,公司与中国银行股份有限公司忻州市分行(以下简称“中国银行”)签署《保证合同》(合同编号:2025-忻州-同力-保证-001),约定由公司为公司的全资子公司忻州同力爆破工程有限公司(以下简称“同力爆破”)与中国银行签订的《流动资金借款合同》所形成的债权提供连带责任保证,担保的债权本金为人民币950万元。",2025-06-26
24,code.002370,亚太药业,资产重组,"2025年3月31日,公司与浙江中清大建筑工业有限公司签署了《关于绍兴兴亚药业有限公司之股权转让协议》,将公司持有的绍兴兴亚药业有限公司100%股权转让给浙江中清大。截至股权转让协议签署日,兴亚药业应付公司借款为人民币48,728,877.89元,经各方协商一致,本次交易采用承债式收购的方式,即受让方本次在受让标的公司100%股权的同时受让及承接标的公司应向转让方偿还的负债48,728,877.89元,并按协议约定向转让方偿还前述负债,即就本次交易,受让方应向转让方支付受让标的公司100%股权的价款126,271,122.11元,并偿还标的公司对亚太药业的债务48,728,877.89元,即受让方应合计向亚太药业支付17,500万元。",2025-06-26
25,code.002390,信邦制药,对外担保,"公司于近日在贵阳市与中国建设银行股份有限公司贵阳河滨支行签订了《保证合同》(编号:建贵河滨保证(2025)第274号),公司为控股子公司贵州同德药业股份有限公司(以下简称“同德药业”)向中国建设银行股份有限公司申请的综合授信提供担保,担保金额为人民币10,000万元。同日,就该担保事项,王文渊先生为同德药业向公司提供了反担保,并签订了《反担保合同》。",2025-06-26
26,code.002394,联发股份,对外担保,江苏联发纺织股份有限公司为江苏仁正纺织科技有限公司提供连带责任保证担保。,2025-06-26
27,code.002394,联发股份,对外担保,江苏联发纺织股份有限公司为江苏联发纺织材料有限公司提供连带责任保证担保。,2025-06-26
28,code.002522,浙江众成,对外担保,"2025年6月25日,公司与华夏银行股份有限公司浙江长三角一体化示范区支行(以下简称“华夏银行浙示范区支行”)签订了编号为“JX03(高保)20250007”的《最高额保证合同》,约定公司愿意在最高债权额限度内为华夏银行浙示范区支行在合同约定的期间内与债务人众立合成材料基于主合同连续发生多笔债权向华夏银行浙示范区支行提供保证担保。",2025-06-26
29,code.002527,新时达,资产重组,"2025年2月14日,海尔卡奥斯工业智能与纪德法、刘丽萍、纪翌签署《股份转让协议》,约定纪德法将其持有的上市公司无限售流通股29,652,066股(占上市公司股份总数的4.47%)依法转让给海尔卡奥斯工业智能;刘丽萍将其持有的上市公司无限售流通股27,685,828股(占上市公司股份总数的4.18%)依法转让给海尔卡奥斯工业智能;纪翌将其持有的上市公司无限售流通股8,968,235股(占上市公司股份总数的1.35%)依法转让给海尔卡奥斯工业智能。纪德法、刘丽萍、纪翌合计转让的股份数量为66,306,129股(占上市公司股份总数的10%)。标的股份转让价格约为19.61元/股,转让价款合计为1,300,000,000元。根据深圳证券交易所出具的《深圳证券交易所上市公司股份协议转让确认书》及中登公司深圳分公司出具的《证券过户登记确认书》,本次协议转让已通过深圳证券交易所协议转让合规确认,并于2025年6月24日完成了相关股份的过户登记手续。同时,根据交易各方签署的相关协议,本次表决权委托与一致行动安排已生效。",2025-06-26
